"","segment","month","year","sim","state"
"678","18","10","3","1",2
"679","19","10","3","1",2
"680","20","10","3","1",2
"681","1","11","3","1",2
"682","2","11","3","1",2
"683","3","11","3","1",2
"684","4","11","3","1",2
"685","5","11","3","1",2
"686","6","11","3","1",2
"687","7","11","3","1",2
"688","8","11","3","1",2
"689","9","11","3","1",2
"690","10","11","3","1",2
"691","11","11","3","1",2
"692","12","11","3","1",1
"693","13","11","3","1",2
"694","14","11","3","1",2
"695","15","11","3","1",2
"696","16","11","3","1",1
"697","17","11","3","1",2
"698","18","11","3","1",2
"699","19","11","3","1",2
"700","20","11","3","1",2
"701","1","12","3","1",2
"702","2","12","3","1",2
"703","3","12","3","1",2
"704","4","12","3","1",2
"705","5","12","3","1",2
"706","6","12","3","1",2
"707","7","12","3","1",2
"708","8","12","3","1",2
"709","9","12","3","1",2
"710","10","12","3","1",2
"711","11","12","3","1",1
"712","12","12","3","1",1
"713","13","12","3","1",1
"714","14","12","3","1",2
"715","15","12","3","1",2
"716","16","12","3","1",1
"717","17","12","3","1",2
"718","18","12","3","1",2
"719","19","12","3","1",2
"720","20","12","3","1",2
"721","1","1","4","1",2
"722","2","1","4","1",2
"723","3","1","4","1",2
"724","4","1","4","1",2
"725","5","1","4","1",2
"726","6","1","4","1",2
"727","7","1","4","1",2
"728","8","1","4","1",1
"729","9","1","4","1",1
"730","10","1","4","1",1
"731","11","1","4","1",1
"732","12","1","4","1",2
"733","13","1","4","1",2
"734","14","1","4","1",2
"735","15","1","4","1",2
"736","16","1","4","1",1
"737","17","1","4","1",2
"738","18","1","4","1",2
"739","19","1","4","1",2
"740","20","1","4","1",2
"741","1","2","4","1",2
"742","2","2","4","1",2
"743","3","2","4","1",2
"744","4","2","4","1",2
"745","5","2","4","1",2
"746","6","2","4","1",2
"747","7","2","4","1",2
"748","8","2","4","1",1
"749","9","2","4","1",1
"750","10","2","4","1",1
"751","11","2","4","1",1
"752","12","2","4","1",2
"753","13","2","4","1",2
"754","14","2","4","1",2
"755","15","2","4","1",2
"756","16","2","4","1",1
"757","17","2","4","1",2
"758","18","2","4","1",2
"759","19","2","4","1",2
"760","20","2","4","1",2
"761","1","3","4","1",2
"762","2","3","4","1",2
"763","3","3","4","1",2
"764","4","3","4","1",2
"765","5","3","4","1",2
"766","6","3","4","1",2
"767","7","3","4","1",2
"768","8","3","4","1",1
"769","9","3","4","1",1
"770","10","3","4","1",1
"771","11","3","4","1",1
"772","12","3","4","1",2
"773","13","3","4","1",2
"774","14","3","4","1",2
"775","15","3","4","1",2
"776","16","3","4","1",2
"777","17","3","4","1",2
"778","18","3","4","1",1
"779","19","3","4","1",1
